,artist_names,track_name,weeks_on_chart
2282,Black Eyed Peas,I Gotta Feeling,73
2283,"Kali, Rida Radar",Je Mi...,73
2284,井朧,不刪,73
2285,"Shablo, Geolier, Sfera Ebbasta",M' Manc (con Geolier & Sfera Ebbasta),73
2286,Laleh,Det Kommer Bli Bra,73
2287,Tropical Caribe,Tomame O Dejame,73
2288,"Gym Class Heroes, Adam Levine",Stereo Hearts (feat. Adam Levine),73
2289,Chillies,Vùng Ký Ức,73
2290,"Lidia, Konstantin",Грешници,73
2291,Daði Freyr,Think About Things,73
2292,Smith & Thell,Hotel Walls,73
2293,Hagle,Ærmen i kærmen,73
2294,Bruno Mars,Talking to the Moon,73
2295,"Don Bigg, Ihab Amir",Lmeryoula,73
2296,Bruno Mars,It Will Rain,73
2297,Damso,Γ. Mosaïque solitaire,73
2298,"Sachet Tandon, Dhvani Bhanushali, Tanishk Bagchi","Psycho Saiyaan (From ""Saaho"")",73
2299,"J Balvin, Bad Bunny",Si Tu Novio Te Deja Sola,73
2300,Avicii,The Nights,73
2301,Adele,When We Were Young,73
2302,Stephen Speaks,Passenger Seat,72
2303,ONE OK ROCK,Yokubou ni michita seinendan,72
2304,SERIOUS BACON,1001 (You're Lovely),72
2305,Intiaanikesä,Neiti Kesäheinä,72
2306,"Jovani, Justinas Jarutis",Wildest Dreams,72
2307,IU,Celebrity,72
2308,SIX60,All She Wrote,72
2309,"Snelle, Maan",Blijven Slapen,72
2310,Jolin Tsai,Ugly Beauty,72
2311,Lino Golden,Shoturi,72
2312,"C. Tangana, Gipsy Kings, Nicolás Reyes, Tonino Baliardo",Ingobernable,72
2313,BTS,Filter,72
2314,Irama,Mediterranea,72
2315,"Myke Towers, Juhn",Bandido,72
2316,Jarabe De Palo,Eso Que Tú Me Das,72
2317,Azteca,Sute Albastre,72
2318,MC Zaquin,Ô Moça,72
2319,"Ofenbach, Lagique",Wasted Love (feat. Lagique),72
2320,Ishay Ribo,סיבת הסיבות,72
2321,Aimer,Koiwazurai,72
2322,Bad Bunny,Pero Ya No,72
2323,Yerin Baek,Square (2017),72
2324,OG Version,TIESIOG NEGALIÚ,72
2325,"Quebonafide, Taco Hemingway",TOKYO2020,72
2326,"Bubbi Morthens, BRÍET",Ástrós,72
2327,$NOT,GOSHA,72
2328,Shiga Lin,The End,72
2329,"FRANKIEONTHEGUITAR, Slow J, Ivandro",Imagina,72
2330,"Halva Priset, Maria Mena",Den fineste Chevy'n,72
2331,"TopGunn, Benjamin Hav",Nik & Jay (feat. Benjamin Hav),72
2332,Yzomandias,Rodinnej Typ,72
2333,Tulus,Adaptasi,72
2334,Kabát,Burlaci,72
2335,Abyusif,Mesa,72
2336,Noa Kirel,אם אתה גבר,72
2337,Daviles de Novelda,Flamenco y Bachata,72
2338,Tzanca Uraganu,Manca-Ti-as Hazu,72
2339,"Keko Salata, BEHM",Vanha (feat. BEHM),72
2340,"LOLO, Branco, Larry",PUB G (feat. Branco & Larry 44),72
2341,BLANCO,Paraocchi,72
2342,Pinhani,Dünyadan Uzak,72
2343,"Dani Gambino, Dj The Boy, RICTA",Apatewn,72
2344,Greeicy,Los Besos,72
2345,"Keren Peles, Roni Alter",באת לי פתאום,72
2346,Gleb,alibababigbass,72
2347,ASH ISLAND,MELODY,72
2348,"Vaidas Baumila, JUSTÉ",Milijonai,72
2349,"Sech, Ozuna, Anuel AA, Darell, Nicky Jam",Otro Trago - Remix,72
2350,Killa Fonic,Miami Bici,72
2351,AURORA,Runaway,72
2352,Vierra,Seandainya,72
2353,"Kings, Sons Of Zion",Help Me Out - Bonus Track,72
2354,Ezhel,Allah’ından Bul,72
2355,Beret,Si por mi fuera,72
2356,KALUSH,Zori,72
2357,Дора,Дорадура,72
2358,Amr Diab,Amaken El Sahar,72
2359,Herman Flesvig,Haugenstua,72
2360,"Maes, Ninho",Distant,72
2361,Mac Miller,The Spins,72
2362,"Emilia, DENIS TEOFIKOV",Akula,72
2363,"Three Man Down, feat. ออม TELExTELEXs",ข้างกัน (City),72
2364,"Moira Dela Torre, I Belong to the Zoo","Patawad, Paalam",72
2365,Miyagi & Andy Panda,Yamakasi,72
2366,"Bru-C, Bou",Streetside,71
2367,"Soolking, Dadju",Meleğim,71
2368,Blind Channel,Dark Side,71
2369,Los Diablitos,Busca Un Confidente,71
2370,Pinguini Tattici Nucleari,Scooby Doo,71
2371,Grupo Mojado,Piensa En Mí,71
2372,Julinho Ksd,Hoji N'ka ta Rola,71
2373,"Krisko, Toni Storaro",Грешна си,71
2374,ERIK,"Em Không Sai, Chúng Ta Sai",71
2375,Tom Petty,Free Fallin',71
2376,"Jón Jónsson, GDRN",Ef ástin er hrein,71
2377,V,Sweet Night,71
2378,Marília Mendonça,Todo Mundo Vai Sofrer - Ao Vivo,71
2379,Suzan & Freek,Goud,71
2380,Anneth,Mungkin Hari Ini Esok Atau Nanti,71
2381,"Vitaa, Slimane",Avant toi,71
2382,Eminem,The Real Slim Shady,71
2383,Portion Boys,Kyläbaari,71
2384,"nublu, gameboy tetris, Buck Fuddi",Tamburiin,71
2385,The White Stripes,Seven Nation Army,71
2386,Justin Bieber,Hold On,71
2387,Jer 柳應廷,水刑物語,71
2388,"Rusherking, KHEA, Duki, Maria Becerra, LIT killah, Tiago PZK",Además de Mí - Remix,71
2389,Villa Cariño,Para dormir contigo otra vez,71
2390,Di Propósito,Manda Áudio,71
2391,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,71
2392,Shahyn,Ma 3aleena,71
2393,Taco Hemingway,LECI NOWY FUTURE,71
2394,Bich Phuong,Đi Đu Đưa Đi,71
2395,Egotrippi,Matkustaja,71
2396,Ink Waruntorn,อยากเริ่มต้นใหม่กับคนเดิม (repeat),71
2397,SIX60,Special,71
2398,بدر العزي,الدنيا دوارة,71
2399,Dizzy DROS,Nota,71
2400,Nena,Portas do Sol,71
2401,Mirrr,ดอกไม้ไฟ - Firework,71
2402,Haloo Helsinki!,Piilotan mun kyyneleet,71
2403,Smallx,B&M,71
2404,Chih Siou,正想著你呢,71
2405,Haloo Helsinki!,Ei suomalaiset tanssi,71
2406,もさを。,ぎゅっと。,71
2407,"Zom Marie, Oat Pramote",โลกอีกใบ,71
2408,Eden Hason,גדל לי קצת זקן,71
2409,Ran Danker,בית משוגעים,71
2410,"Maroon 5, Megan Thee Stallion",Beautiful Mistakes (feat. Megan Thee Stallion),71
2411,Mouh Milano,Machafouhach,71
2412,"Cali Y El Dandee, Danna Paola",Nada,71
2413,Calby,Burnout,71
2414,"Drake, Lil Baby",Wants and Needs (feat. Lil Baby),71
2415,Marwan Moussa,Tesla,71
2416,Kenshi Yonezu,アイネクライネ,70
2417,"KKevin, T. Danny, GINOKA",Hazudtál,70
2418,"Boro Purvi, Tita",Вивалди,70
2419,Nathan Goshen,שני ילדים בעולם,70
2420,Liis Lemsalu,Kehakeel,70
2421,"Julia Michaels, Niall Horan",What A Time (feat. Niall Horan),70
2422,"La Factoria, Eddy Lover",Perdóname,70
2423,Justin Bieber,Anyone,70
2424,Bronco,Que No Quede Huella,70
2425,Snelle,Smoorverliefd,70
2426,SIX60,Kia Mau Ki Tō Ūkaipō / Don't Forget Your Roots,70
2427,Lukas Graham,7 Years,70
2428,Queen G,طرشوله,70
2429,Molchat Doma,Судно (Борис Рижий),70
2430,ElGrandeToto,Santa Fe,70
2431,"Luis Angel ""El Flaco"", Grupo Firme",Hasta la Miel Amarga (feat. Grupo Firme),70
2432,JANNABI,for lovers who hesitate,70
2433,"JACKBOYS, Pop Smoke, Travis Scott",GATTI,70
2434,Gazapizm,Sağı Solu Kes,70
2435,EggPlantEgg,愛情你比我想的閣較偉大 -《當男人戀愛時》電影主題曲,70
2436,aespa,Black Mamba,70
2437,Gloc 9,Simpleng Tao,70
2438,Marília Mendonça,Sem Sal - Ao Vivo,70
2439,ElGrandeToto,Chopin,70
2440,ARASHI,Turning Up,70
2441,The Weeknd,Die For You,70
2442,"Usher, Alicia Keys",My Boo,70
2443,"Black Eyed Peas, J Balvin",RITMO (Bad Boys For Life),70
2444,"Agapornis, Hernan y La Champion's Liga, Lauro",Flasheaste Amor,70
2445,MG,Motto,70
2446,"Arijit Singh, Chinmayi","Mast Magan (From ""2 States"")",70
2447,Urworld,Sunkissed,70
2448,"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",Elegí (feat. Dímelo Flow),70
2449,"Bich Phuong, traitimtrongvang",em bỏ hút thuốc chưa (feat. traitimtrongvang),70
2450,"Malu, DJ Lucas Beat",Disco Arranhado - Funk Remix,70
2451,"Maluma, Lenny Tavárez, Justin Quiles",Parce (feat. Justin Quiles),70
2452,URBOYTJ,กอดได้ไหม,70
2453,ROSÉ,Gone,70
2454,"Witt Lowry, Ava Max",Into Your Arms (feat. Ava Max),70
2455,JONY,Комета,70
2456,ElGrandeToto,ALOHA!,70
2457,Chris Holsten,Smilet i ditt eget speil,70
2458,TIX,Nå Koser Vi Oss,70
2459,"Los Legendarios, Wisin, Jhay Cortez",Fiel,70
2460,"Blxst, Tyga, Ty Dolla $ign",Chosen (feat. Ty Dolla $ign),70
2461,TIX,Neste Sommer,70
2462,"Stormzy, Burna Boy, Ed Sheeran",Own It (feat. Ed Sheeran & Burna Boy),70
2463,"Oscar, Ian",Oriunde Ma Duc,70
2464,"Anuel AA, KAROL G",Secreto,70
2465,Waa Wei,Heaven,69
2466,Pashanim,Hauseingang,69
2467,Uru,Anataga Iru Kotode,69
2468,Spacey Jane,Booster Seat,69
2469,"Neha Kakkar, Tanishk Bagchi, Lalit Sen",Yaad Piya Ki Aane Lagi,69
2470,"Bedo, Patron",Ölebilirim,69
2471,Thịnh Suy,Nghe Em,69
2472,Furytto,Atvirai,69
2473,APO Hiking Society,When I Met You,69
2474,"Pil C, Ben Cristovao",HAWAII,69
2475,Aron Can,Allt það sem ég var,69
2476,"Doli & Penn, Ivri Lider, Peled, Ella Lee",השמיים נעולים,69
2477,Misellia,Akhir Tak Bahagia,69
2478,"ClubDub, Ra:tio, Salsakommúnan",Aquaman (feat. Salsakommúnan),69
2479,Arthur Nery,Binhi,69
2480,"CKay, ElGrandeToto",love nwantiti (feat. ElGrande Toto) - North African Remix,69
2481,Jer 柳應廷,狂人日記,69
2482,L.A.B.,Rocketship,69
2483,Fawaz Ben Awad,Shalaa Balahon,69
2484,QLER,จีบ,69
2485,Petri Nygård,Pannaan Suomi Kuntoon,69
2486,"Hagle, Staysman",Bøgda,69
2487,Banda MS de Sergio Lizárraga,La Casita,69
2488,L7or,حس بيا,69
2489,"Noa Kirel, Shahar Saul",מיליון דולר,69
2490,RAVA,Giulesti Crangasi,69
2491,Doja Cat,Streets,69
2492,"Light, Hawk",Ligi,69
2493,"A.R. Rahman, Javed Ali",Jashn-E-Bahaaraa,69
2494,"Marracash, thasup, Sfera Ebbasta",SUPREME - L'ego (feat. thasup & Sfera Ebbasta),69
2495,"Lost Sky, Chris Linton",Fearless Pt. II,69
2496,C. Tangana,Nunca Estoy,69
2497,VSTRA,Internet Love,69
2498,J. Cole,Work Out,69
2499,SEKAI NO OWARI,silent,69
2500,TIX,Karantene,69
2501,"Los Plebes del Rancho de Ariel Camacho, Christian Nodal",2 Veces,69
2502,Zé Neto & Cristiano,Alô Ambev (Segue Sua Vida) - Ao Vivo,69
2503,T.R.I,Chúng Ta Sau Này,69
2504,"Dani Gambino, Immune",CARLOS TEVEZ,69
2505,Cairokee,Samurai,69
2506,Lege-Cy,ثرثرة,69
2507,ISSAM,Trap Beldi,69
2508,IU,LILAC,69
2509,Dua Lipa,Levitating,69
2510,James Arthur,Train Wreck,69
2511,"Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),69
2512,Justin Bieber,Off My Face,69
2513,Marracash,BRAVI A CADERE - I polmoni,69
2514,Soppgirobygget,Afterski,69
2515,İkilem,Bir Sebebi Var,69
2516,Mawar de Jongh,Sedang Sayang Sayangnya,68
2517,Marwan Pablo,CTRL,68
2518,Benedixhion,toxin,68
2519,"Bresh, SHUNE",Angelina Jolie,68
2520,Fujii Kaze,優しさ,68
2521,Keung To,Master Class,68
2522,King Gnu,Teenager Forever,68
2523,Kensington,Uncharted,68
2524,Nik Tendo,Malá Biš,68
2525,Matuê,Máquina do Tempo,68
2526,Gajendra Verma,"Mann Mera (From ""Table No. 21"")",68
2527,Geva Alon,Modern Love,68
2528,Mike 曾比特,我不如,68
2529,BLOOM VASE,CHILDAYS,68
2530,Lil Nas X,MONTERO (Call Me By Your Name),68
2531,"Kane Brown, Swae Lee, Khalid",Be Like That - feat. Swae Lee & Khalid,68
2532,"Jubin Nautiyal, Rocky - Shiv",Humnava Mere,68
2533,"El Sawareekh, Zoka, Shehta Karika",مهرجان اخواتى,68
2534,"El Reja, Lira",Bésame,68
2535,IV Of Spades,Come Inside Of My Heart,68
2536,"Ego, Sima, Ben Cristovao",Pumpa,68
2537,"Natasja, Tessa, Karen Mukupa",Til Banken (Natasja X Tessa X Karen Mukupa),68
2538,Bad Bunny,Caro,68
2539,JUUN D,Sợ Rằng Em Biết Anh Còn Yêu Em,68
2540,Elaine,You're the One,68
2541,JVG,Pintakaasulla,68
2542,"Donnie, Frans Duijts",Frans Duits,68
2543,"Dopebwoy, Jonna Fraser",Vakantie (with Jonna Fraser),68
2544,Myke Towers,Girl,68
2545,BTS,Your eyes tell,68
2546,"Jessica Shy, Rokas",Stadionai,68
2547,Nathan Evans,Wellerman - Sea Shanty,68
2548,"MG, SNIK",SUPERSTAR,68
2549,Chef'Special,Afraid Of The Dark,68
2550,Bich Phuong,Một Cú Lừa,68
2551,Banda MS de Sergio Lizárraga,Cerrando Ciclos,68
2552,Marek Ztraceny,Tak se nezlob,68
2553,Marca MP,Ya Acabo,68
2554,"BOWKYLION, ว่าน วันวาน",ซับ,68
2555,Marc Anthony,Flor Pálida,68
2556,"FILV, Edmofo, Emma Peters",Clandestina (feat. Emma Peters) - Cocaina Remix,68
2557,Central Cee,Loading,68
2558,Molly Sandén,Nån annan nu,68
2559,Erin,Yhtenä sunnuntaina,68
2560,"KAROL G, Mariah Angeliq",EL MAKINON,68
2561,Maan,Ze Huilt Maar Ze Lacht,68
2562,"Nekfeu, Damso",Tricheur,68
2563,Drake,Toosie Slide,68
2564,Casa Worship,A Casa É Sua,68
2565,"Matheus Fernandes, Dilsinho",Baby Me Atende,68
2566,Miriam Bryant,"Du Med Dig, Akustisk",68
2567,Tagne,Nadi Canadi,68
2568,Abdullah Al Farwan,أجمل غرامي,68
2569,Sezen Aksu,Ben De Yoluma Giderim,68
2570,"Separ, Ben Cristovao",Origami,68
2571,"Yash Narvekar, Parampara Tandon, Tanishk Bagchi","Muqabla (From ""Street Dancer 3D"")",68
2572,Tom Grennan,Little Bit of Love,68
2573,"Santa Fe Klan, Nanpa Básico",Te Ire A Buscar,68
2574,Yzomandias,BodyBag,68
2575,"Alonzo, Jul, Naps",La Seleçao,68
2576,Zouhair Bahaoui,Favor,68
2577,Suzan & Freek,Weg Van Jou,68
2578,andreas odbjerg,i morgen er der også en dag,68
2579,"T. Danny, Curtis",Faszagyerek,68
2580,THE TOYS,ทิ้งแต่เก็บ - เพลงประกอบภาพยนตร์ ฮาวทูทิ้ง..ทิ้งอย่างไร ไม่ให้เหลือเธอ,68
2581,4EVE,วัดปะหล่ะ? (TEST ME),68
2582,Silent Sanctuary,Kundiman,68
2583,陳卓賢 Ian,DWBF,68
2584,Terence Lam,神奇的糊塗魔藥,68
2585,"Ozuna, Camilo",Despeinada,68
2586,"Pritam, Arijit Singh",Hawayein,68
2587,"Pritam, Arijit Singh",Aabaad Barbaad,68
2588,Polycat,เป็นเพราะฝน,68
2589,Three Man Down,Friend Zone,68
2590,Therapie TAXI,Eté 90,68
2591,Ak4:20,Siempre Fine,67
2592,"Alok, Mc Don Juan, Dj GBR",Liberdade (Quando o Grave Bate Forte),67
2593,Jung,"Blitz, Baby",67
2594,"Cavallini & Shrty, Gettomasa",16v,67
2595,Smallx,Maalish,67
2596,Carson Coma,Pók,67
2597,IU,Blueming,67
2598,Surf Curse,Freaks,67
2599,"Alok, Dynoro",On & On,67
2600,"Stebin Ben, Nilesh Ahuja, Kumaar",Thoda Thoda Pyaar,67
2601,Taylor Swift,willow,67
2602,Carla's Dreams,Seara De Seara,67
2603,"Carl Brave, Mara Sattei, thasup",Spigoli (feat. Mara Sattei & thasup),67
2604,TIX,Jævlig,67
2605,Calin,Perfect Week,67
2606,Sia,Unstoppable,67
2607,Albatraoz,Raggarbil,67
2608,Tani Yuuki,Myra,67
2609,黄霄雲,STARS AND SEA,67
2610,"Saske, Rack, Beyond",DOKIMASE TON,67
2611,"Shlomi Shabat, Eliad",מורידים את הירח,67
2612,Sexmane,Mama,67
2613,Outkast,Ms. Jackson,67
2614,PRO8L3M,Ground Zero,67
2615,Miyagi & Andy Panda,Патрон,67
2616,"Miriam Bryant, Victor Leksell",tystnar i luren,67
2617,Bardachiokas,Vaikai Po Lelijom,67
2618,"Maverick Sabre, Jorja Smith, Vintage Culture, Slow Motion",Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix,67
2619,Polycat,มันเป็นใคร,67
2620,Marz23,Not A Rapper,67
2621,"Marc Seguí, Rauw Alejandro, Pol Granch",Tiroteo - Remix,67
2622,Marbelle,Adicta al Dolor,67
2623,Racoon,De Echte Vent,67
2624,Olivia Rodrigo,deja vu,67
2625,Ramy Sabry,Oyouno Lama Ablony,67
2626,Mad Clip,Elpida,67
2627,"Lérica, Belinda",Flamenkito,67
2628,Luke Combs,Beer Never Broke My Heart,67
2629,"Rochy RD, Myke Towers, Nicki Nicole",Ella No Es Tuya - Remix,67
2630,Los Abuelos De La Nada,Mil Horas,67
2631,Lia Shine,Ben Gibi Bakmaz,67
2632,"Leon Somov, Justinas Jarutis",Before You,67
2633,Lauv,Never Not,67
2634,"SNIK, Guè, Noizy, Capo Plaza",Colpo Grosso,67
2635,LUSS,247,67
2636,LEX,Vittorio,67
2637,Kings,Don't Worry 'Bout It,67
2638,Herra Hnetusmjör,Stjörnurnar,67
2639,"Jador, Lino Golden",Dau Moda,67
2640,Myra Granberg,HKF (Håll käften & försvinn),67
2641,Eden Ben Zaken,אגרוף,67
2642,Gerry Cinnamon,Canter,67
2643,"Gavin D, PUI, VARINZ, Nonny9, Z TRIP, MITEENNN",รักได้ป่าว,67
2644,Dolu Kadehi Ters Tut,Neyin Nesi,67
2645,3enba,Dawla,67
2646,Duman,Aman Aman,67
2647,fem.love,Фотографирую закат,67
2648,"Eddy Lover, La Factoria",Perdóname,67
2649,"Wilkinson, Becky Hill",Afterglow,67
2650,"VIZE, Tom Gregory",Never Let Me Down,67
2651,Will,Estate,67
2652,Zpecial,深夜告別練習,67
2653,"El Taiger, DJ Conds",La Historia,67
2654,Zeynep Bastık,Uslanmıyor Bu,67
2655,Zack Tabudlo,Nangangamba,67
2656,Zack Tabudlo,Binibini,67
2657,Creep Hyp,栞,67
2658,Żabson,Młody Boss,67
2659,Clairo,Sofia,67
2660,Abdullah Al Mukhles,اشكر جمالك,67
2661,Cheb Hasni,Sbaart Ou Tal Adabi,67
2662,Denny Caknan,Kartonyono Medot Janji,67
2663,Nerieš,Jak Sa Máš,67
2664,"Haki, Bubbi Morthens",Flýg,67
2665,UZI,Düş Yakamdan,67
2666,UZI,Umrumda Değil,67
2667,"Travis Scott, HVME",Goosebumps - Remix,67
2668,Tulus,Sewindu,67
2669,UZI,Krvn,67
2670,Ludwig,Domani ci passa,66
2671,Pasi ja Anssi,Maailman onnellisin maa,66
2672,"Moira Dela Torre, Ben&Ben",Paalam,66
2673,"Light, Billy Sio, ATC Nico",Slang,66
2674,"Lee Mvtthews, NÜ",Takeover,66
2675,婁峻碩,COLORFUL,66
2676,Bispo,Lembrei-me,66
2677,"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),66
2678,"P!nk, Willow Sage Hart",Cover Me In Sunshine,66
2679,A36,Samma gamla vanliga,66
2680,"Endy Chow, ToNick","Origin Of Time (Theme Song From Movie ""One Second Champion"")",66
2681,"01099, Gustav",Frisch,66
2682,Tones And I,Fly Away,66
2683,"Bizarrap, L-Gante","L-Gante: Bzrp Music Sessions, Vol.38",66
2684,EDIS,Martılar,66
2685,オレンジスパイニクラブ,Kinmokusei,66
2686,Power Station,Love Me True,66
2687,Bee Gees,"How Deep Is Your Love - From ""Saturday Night Fever"" Soundtrack",66
2688,Matuê,777-666,66
2689,"Piso 21, Myke Towers",Una Vida Para Recordar,66
2690,"Diplo, SIDEPIECE",On My Mind,66
2691,Pop Smoke,Element,66
2692,"Massimo Pericolo, Crookers",STUPIDO,66
2693,"Marília Mendonça, Leo Santana, Didá Banda Feminina",Apaixonadinha - Ao Vivo,66
2694,thasup,fuck 3x,66
2695,Polo G,RAPSTAR,66
2696,Sech,Sal y Perrea,66
2697,"Doja Cat, SZA",Kiss Me More (feat. SZA),66
2698,Marwan Pablo,El Hob Fein,66
2699,"Drake, Lil Durk",Laugh Now Cry Later (feat. Lil Durk),66
2700,"Bich Phuong, Phuc Du",từ chối nhẹ nhàng thôi,66
2701,DJ Totti,(تجار حرام (مع ويجز,66
2702,Mad Clip,Kinitro,66
2703,Sech,Relación,66
2704,Eric Chou,Unbreakable Love,66
2705,"Jubin Nautiyal, Emraan Hashmi",Lut Gaye,66
2706,"ATYPISK, Gilli, KESI",Kærlighed (feat. Gilli & Kesi),66
2707,"Cardi B, Megan Thee Stallion",WAP (feat. Megan Thee Stallion),66
2708,"Snelle, Ronnie Flex",In De Schuur,66
2709,"Neha Kakkar, Jubin Nautiyal, Jaani",Taaron Ke Shehar,66
2710,Hugo & Guilherme,Coração Na Cama - Ao Vivo,66
2711,The Weeknd,In Your Eyes,66
2712,"Feid, J Balvin, Maluma, Nicky Jam, Sech, Justin Quiles","PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",66
2713,"Italian Somali, Capo Musica, Da Silva, EL BOY C",Follie Flow,66
2714,"Sobel, Piotrek Lewandowski",Każdego Dnia,66
2715,Thegiornalisti,Riccione,66
2716,"Wegz, LZHYMR",أسياد الصوت,66
2717,Hipsumhaps,LSMLÍ (lífið sem mig langar í),66
2718,Bruno Mars,Locked out of Heaven,66
2719,Freeze corleone,Freeze Raël,66
2720,AGA,Wonderful U,66
2721,Serdar Ortaç,Mesafe,66
2722,Idan Rafael Haviv,מחכה,66
2723,"Dadju, Ninho",Grand bain,65
2724,"Mata, Trooh Hippi",Patoreakcja,65
2725,Christian Nodal,Amor Tóxico,65
2726,JC 陳詠桐,我該放手,65
2727,Christian Nodal,Si Te Falta Alguien,65
2728,Jack Harlow,WHATS POPPIN,65
2729,Giorgos Sabanis,Agria Thalassa - Bonus Track,65
2730,Khaled Essam El Deen,Ouzoreny,65
2731,Pinguini Tattici Nucleari,Ringo Starr,65
2732,"Mente Fuerte, Hawk",Rudeboys,65
2733,Myra Granberg,Lose my mind,65
2734,"Miriam Bryant, Yasin",Ge upp igen,65
2735,大籽,白月光与朱砂痣,65
2736,Pate Mustajärvi,Ukkometso,65
2737,Guyon Waton,Perlahan,65
2738,Papa Roach,Last Resort,65
2739,Azahriah,aight,65
2740,Tommaso Paradiso,Non Avere Paura,65
2741,"David Otero, Taburete",Una Foto en Blanco y Negro,65
2742,Hamza Namira,Fady Shewaya,65
2743,Backstreet Boys,I Want It That Way,65
2744,Daddy Was a Milkman,Breathe In,65
2745,Wegz,مش فير,65
2746,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,65
2747,ROCKET,Monday,65
2748,"Sebastian Yatra, Myke Towers",Pareja Del Año,65
2749,Anatomy Rabbit,Are You out yet ?,65
2750,"Kygo, OneRepublic",Lose Somebody,65
2751,Shehab,مش مسيكب,65
2752,LMEN PRALA,Polizei,65
2753,Shela,Akhsamna Tandas - Remix,65
2754,FYRE,Sofia Hills,65
2755,"KESI, Hennedub",Tilbage,65
2756,"Anson Kong 江𤒹生, 陳卓賢 Ian",蝸牛,65
2757,"Fasma, GG",Per sentirmi vivo,65
2758,KESI,Følelsen,65
2759,El Papi,Sykepleierinnen (Sykehuset 2020),65
2760,"Skusta Clee, Yuridope",Dance With You,65
2761,Lilas Ikuta,Answer,65
2762,Finn Askew,Roses,65
2763,Rilès,Pesetas,65
2764,buitruonglinh,Dù Cho Mai Về Sau,65
2765,"Wezza Montaser, Wegz",Ali Baba,65
2766,Wet Bed Gang,La Bella Mafia,65
2767,"Snor, Tagne, Stormy",Nasa,65
2768,C AllStar,"For those who stay, For those who had left",65
2769,"Sobel, PSR",Bandyta,65
2770,"Soolking, Cheb Mami",Ça fait des années,65
2771,"Weird Genius, Sara Fajira",LATHI (with Sara Fajira),65
2772,CHANGMO,METEOR,65
2773,Yahya,keepyousafe,65
2774,ROCKET,She Wants,65
2775,Charlie Puth,Cheating on You,65
2776,Ninho,Tout en Gucci,65
2777,Måneskin,ZITTI E BUONI,65
2778,Newkid,Starkare,65
2779,NORDO,Ya Denya,65
2780,Ilta,Kelle mä soitan,64
2781,"Mad Clip, Ypo",Megistanas,64
2782,dhruv,double take,64
2783,Ado,踊,64
2784,"The Weeknd, Ariana Grande",Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,64
2785,"Hov1, Einár",Gamora,64
2786,The Weeknd,Heartless,64
2787,Reol,第六感,64
2788,Hussain Aljassmi,Bel Bont El3areedh,64
2789,Hussain Aljassmi,Sunnet El Hayah (orange Ramadan 2020),64
2790,Los Mier,Dulcemente Enamorada,64
2791,SafahMusic,ريكلس - راب ون بيس,64
2792,"Teflon Brothers, Ressu Redford, Heavyweight",Hubba Bubba,64
2793,Bakermat,Baianá,64
2794,Hatim Ammor,Alach Ya Lil,64
2795,"Akim, Dalex, Beéle, Boza",Otra Baby,64
2796,Pop Smoke,Invincible,64
2797,Pornofilmy,Я так соскучился,64
2798,Branco,Bando Bitch,64
2799,"Maes, Jul",Dybala,64
2800,"Tagne, Snor",FLOUKA,64
2801,Postgirobygget,Idyll,64
2802,Naps,La kiffance,64
2803,BTS,Blue & Grey,64
2804,TWICE,I CAN'T STOP ME,64
2805,"Tilly Birds, MILLI",เพื่อนเล่น ไม่เล่นเพื่อน (Just Being Friendly),64
2806,Eden Hason,אל תשברי לי את הלב,64
2807,Albin Lee Meldau,Josefin,64
2808,Tom Gregory,Fingertips,64
2809,Miss Li,Instruktionsboken,64
2810,Felipe Araújo,Mentira - Ao Vivo,64
2811,Friðrik Dór,Ekki stinga mig af - Live frá Kaplakrika,64
2812,Wegz,الزار,64
2813,Minelli,Rampampam,64
2814,"Fy, Light, MC Bin Laden, Mad Clip, Mente Fuerte",Woh - Remix,64
2815,"Mody Amin, Essam Saasa",صاحبي من غبائه,64
2816,Galena,100 zhivota,64
2817,Yasmeen,Rouh W Nsani,64
2818,Yaşar,Kumralım,64
2819,Gen Hoshino,FUSHIGI,64
2820,"Gera MX, Christian Nodal",Botella Tras Botella,64
2821,Glenn Fredly,Sekali Ini Saja,64
2822,ElGrandeToto,Tango,64
2823,Roxen,Ce-Ţi Cântă Dragostea,64
2824,"Nane, Delia",ÎN RAI,64
2825,Gusttavo Lima,A Gente Fez Amor - Ao Vivo,64
2826,Mok Saib,الغربة,64
2827,"El Bobe, alPeDue",Ella,64
2828,MGMT,Little Dark Age,64
2829,Troye Sivan,YOUTH,64
2830,Haloo Helsinki!,Lady Domina,64
2831,Pancho Barraza,Mi Enemigo El Amor,64
2832,JUDE,Point-Blank,64
2833,"Filipe Ret, L7NNON, Chris Beats Zn",Corte Americano,64
2834,Mr.,森林,64
2835,MC Kevin o Chris,Tipo Gin - Ao Vivo,64
2836,Kevin Kaarl,Colapso,64
2837,Séra Bjössi,Single Í Dalnum,64
