,artist_names,track_name,weeks_on_chart
150,Ceza,Neyim Var Ki (feat. Sagopa K),221
151,Mayday,突然好想你,221
152,"Billie Eilish, Khalid",lovely (with Khalid),221
153,Andra & The Backbone,Sempurna,221
154,Christian Nodal,Probablemente,221
155,Anne-Marie,2002,221
156,Juice WRLD,All Girls Are The Same,220
157,5 Seconds of Summer,Youngblood,220
158,SIX60,Vibes,220
159,"Charlie Puth, Selena Gomez",We Don't Talk Anymore (feat. Selena Gomez),220
160,Juice WRLD,Lucid Dreams,219
161,Müslüm Gürses,Nilüfer,219
162,"Pepe Aguilar, Melissa Robles, Ángela Aguilar, La Marisoul",Prometiste,219
163,Hivi!,Pelangi,219
164,"Tuna, Tzlil Danin",בסיבוב,219
165,Vũ.,Lạ Lùng,219
166,Racoon,Oceaan,219
167,Rainie Yang,年輪說,218
168,Benaia Barabi,מישהו איתי כאן,218
169,Mr.Children,Hanabi,218
170,Joey Yung,心淡,218
171,Calum Scott,You Are The Reason,217
172,Supper Moment,Endless,217
173,"Tuna, Ravid Plotnik",עולם משוגע,217
174,Kchiporros,Cada Día,216
175,"A$AP Rocky, Skepta",Praise The Lord (Da Shine) (feat. Skepta),215
176,Nina,Someday,215
177,"Jay Chou, A-Mei Chang",不該,215
178,Kelly Yu,體面 (電影《前任3:再見前任》插曲),215
179,Eason Chan,讓我留在你身邊,215
180,"Meghan Trainor, John Legend",Like I'm Gonna Lose You (feat. John Legend),214
181,Fito y Fitipaldis,Soldadito marinero,214
182,Ten2Five,You - 2007 Remaster,213
183,White 2115,California,212
184,Kenshi Yonezu,Lemon,212
185,"Piso 21, Manuel Turizo",Déjala Que Vuelva (feat. Manuel Turizo),211
186,C AllStar,See You Again?,211
187,Pereza,Princesas,211
188,KALEO,Way down We Go,210
189,Eminem,Without Me,210
190,Dean Lewis,Be Alright,209
191,Lauv,Paris in the Rain,209
192,Mrs. GREEN APPLE,青と夏,209
193,Sơn Tùng M-TP,Nơi Này Có Anh,208
194,Mirai,"Když nemůžeš, tak přidej",208
195,Ronghao Li,If I Were Young,208
196,Aimyon,Marigold,208
197,I Belong to the Zoo,Sana - Single Version,208
